gender,city,state,zip,job,category,amt,is_fraud,age
M,Lake Jackson,TX,77566,Futures trader,grocery_net,24.22,0,27
F,Washington Court House,OH,43160,Television floor manager,shopping_pos,98.41,0,87
F,Munith,MI,49259,Geophysicist/field seismologist,gas_transport,98.88,0,38
M,Kingsville,MD,21087,Science writer,health_fitness,1.84,0,65
F,Rocky Mount,MO,65072,Tax inspector,food_dining,31.97,0,38
M,Smithfield,IL,61477,Futures trader,entertainment,75.94,0,53
M,North Augusta,SC,29860,Secondary school teacher,shopping_pos,7.24,0,84
M,Andrews,IN,46702,Retail banker,grocery_pos,120.34,0,71
F,Cleveland,TX,77327,Building surveyor,food_dining,20.49,0,31
M,Columbia,SC,29209,Mechanical engineer,gas_transport,53.82,0,58
M,Stillwater,OK,74074,Cabin crew,gas_transport,58.63,0,78
M,Indianapolis,IN,46290,Academic librarian,grocery_net,33.21,0,39
M,Arlington,VA,22213,Mudlogger,shopping_net,2.85,0,42
M,Gretna,LA,70056,Biomedical scientist,health_fitness,8.94,0,54
M,Halma,MN,56729,"Embryologist, clinical",gas_transport,64.73,0,84
F,Kirby,OH,43330,Private music teacher,shopping_net,5.93,0,69
M,Minnesota Lake,MN,56068,Music tutor,gas_transport,65.37,0,63
M,Winfield,WV,25213,Exhibition designer,kids_pets,70.87,0,46
F,Barneveld,NY,13304,IT trainer,health_fitness,103.75,0,32
M,Bessemer,AL,35022,Radio broadcast assistant,travel,9.94,0,37
M,Cuyahoga Falls,OH,44223,Equities trader,home,8.74,0,60
F,Philadelphia,PA,19149,Structural engineer,personal_care,15.82,0,41
M,Mount Saint Joseph,OH,45051,Exhibition designer,home,60.67,0,52
M,Etlan,VA,22719,Senior tax professional/tax inspector,travel,602.11,0,44
F,Munith,MI,49259,Geophysicist/field seismologist,shopping_pos,6.04,0,38
F,Mount Clemens,MI,48043,"Psychologist, sport and exercise",grocery_pos,99.25,0,99
F,Higganum,CT,6441,"Librarian, academic",shopping_pos,8.55,0,62
F,Birmingham,IA,52535,Camera operator,grocery_pos,91.29,0,38
M,Arcadia,MI,49613,"Designer, jewellery",shopping_pos,6.98,0,60
M,Moab,UT,84532,Location manager,food_dining,100.53,0,37
F,Prosperity,SC,29127,Archaeologist,personal_care,14.49,0,32
F,East Canaan,CT,6024,Comptroller,grocery_net,61.4,0,39
M,Bowdoin,ME,4287,"Engineer, electronics",gas_transport,46.15,0,29
F,Wilmington,NC,28405,English as a second language teacher,shopping_pos,44.23,0,43
M,Andrews,IN,46702,Retail banker,entertainment,13.97,0,71
F,Darien,GA,31305,Tax adviser,kids_pets,13.67,0,59
F,Colton,WA,99113,Chief Marketing Officer,grocery_net,56.42,0,83
F,Ronceverte,WV,24970,Statistician,misc_net,2.32,0,35
M,Bridger,MT,59014,Chartered loss adjuster,entertainment,81.77,0,48
M,Lonetree,WY,82936,Research scientist (physical sciences),home,66.74,0,45
F,Naples,FL,34112,"Pilot, airline",food_dining,181.25,0,92
F,Manquin,VA,23106,"Engineer, automotive",food_dining,2.22,0,27
M,Union,WV,24983,Chartered public finance accountant,entertainment,47.98,0,85
F,Wilmington,NC,28405,English as a second language teacher,health_fitness,62.61,0,43
F,Thompson,UT,84540,"Surveyor, minerals",travel,5.37,0,39
F,Iselin,NJ,8830,Emergency planning/management officer,entertainment,4.06,0,97
M,Greenville,OH,45331,Media planner,shopping_pos,7.24,0,55
F,Manville,WY,82227,Educational psychologist,shopping_pos,4.74,0,46
M,Tamaroa,IL,62888,"Development worker, community",grocery_pos,123.69,0,65
M,Sachse,TX,75048,Site engineer,shopping_net,1037.36,0,41
M,Mc Nabb,IL,61335,Audiological scientist,shopping_pos,21.8,0,70
F,North Washington,PA,16048,Patent attorney,home,42.38,0,72
M,North Augusta,SC,29860,Secondary school teacher,home,16.32,0,84
M,Fiddletown,CA,95629,Immigration officer,shopping_pos,132.08,0,39
M,Turner,MT,59542,Further education lecturer,shopping_pos,19.66,0,62
M,Parsonsfield,ME,4047,Audiological scientist,food_dining,45.84,0,70
M,Comfrey,MN,56019,Health and safety adviser,shopping_pos,2.95,0,82
F,North Prairie,WI,53153,Applications developer,kids_pets,20.78,0,84
M,Grand Junction,TN,38039,Clothing/textile technologist,grocery_pos,81.66,0,52
M,Port Costa,CA,94569,Armed forces training and education officer,food_dining,31.74,0,67
M,Fayetteville,NC,28314,"Scientist, research (maths)",misc_net,8.02,0,33
F,Houston,TX,77026,Animator,personal_care,15.9,0,43
M,Falmouth,MI,49632,Furniture designer,food_dining,25.3,0,71
M,Allentown,NY,14707,Radio producer,kids_pets,321.12,0,70
M,Birmingham,AL,35229,Musician,misc_pos,4.84,0,46
F,Orient,WA,99160,Special educational needs teacher,health_fitness,53.62,0,48
M,Parkers Lake,KY,42634,"Designer, industrial/product",misc_net,3.59,0,58
M,Sardis,AL,36775,Learning disability nurse,kids_pets,11.23,0,94
M,Meadville,MO,64659,Tourist information centre manager,shopping_pos,147.2,0,52
M,Port Costa,CA,94569,Armed forces training and education officer,grocery_net,56.02,0,67
F,Albuquerque,NM,87109,Civil Service administrator,grocery_pos,200.81,0,50
M,Johns Island,SC,29455,Materials engineer,shopping_pos,8.81,0,29
F,Mill Creek,PA,17060,Archaeologist,misc_net,5.54,0,40
F,Drakes Branch,VA,23937,Energy engineer,home,7.88,0,41
M,Hancock,MD,21750,Press photographer,home,10.21,0,42
F,Sheffield,MA,1257,Radio producer,gas_transport,63.23,0,53
M,Crownpoint,NM,87313,IT consultant,gas_transport,73.17,0,37
F,Hedrick,IA,52563,Geochemist,personal_care,5.32,0,27
M,Elizabeth,NJ,7208,Operational researcher,misc_pos,1.8,0,46
F,East Canaan,CT,6024,Comptroller,grocery_net,37.31,0,39
F,Altona,NY,12910,"Surveyor, land/geomatics",entertainment,108.87,0,73
M,Haw River,NC,27258,Paramedic,entertainment,38.57,0,42
F,Scotia,SC,29939,Magazine features editor,gas_transport,89.76,0,53
F,Cascade Locks,OR,97014,Barrister,grocery_pos,135.82,0,90
M,Saint Petersburg,FL,33710,"Engineer, land",personal_care,14.82,0,37
F,Queenstown,MD,21658,Maintenance engineer,entertainment,17.22,0,64
M,Norwalk,CA,90650,Firefighter,food_dining,18.3,0,53
F,Issaquah,WA,98027,Osteopath,shopping_net,480.56,0,42
M,Oxford,MI,48371,Agricultural consultant,shopping_net,4.35,0,66
F,East Andover,ME,4226,Animal nutritionist,grocery_pos,137.26,0,56
M,Titusville,FL,32780,Set designer,misc_pos,9.42,0,39
F,Lowville,NY,13367,Theme park manager,shopping_pos,25.14,0,35
M,Bay City,MI,48706,Water quality scientist,health_fitness,16.39,0,31
F,Leonard,TX,75452,Sub,shopping_pos,189.61,0,49
F,Cromona,KY,41810,Chief Financial Officer,misc_net,2.46,0,66
F,De Witt,AR,72042,Electrical engineer,grocery_pos,196.36,0,33
F,Holcomb,KS,67851,Arboriculturist,grocery_net,63.76,0,33
F,Moravian Falls,NC,28654,"Psychologist, counselling",entertainment,37.85,0,38
M,Mc Nabb,IL,61335,Audiological scientist,shopping_net,8.38,0,70
F,Whigham,GA,39897,"Editor, commissioning",shopping_pos,8.08,0,76
F,Grand Bay,AL,36541,"Scientist, physiological",shopping_pos,1.22,0,69
F,Bradley,SC,29819,Research scientist (physical sciences),grocery_pos,83.01,0,42
M,Scarborough,ME,4074,Make,home,56.09,0,93
F,Thompson,UT,84540,"Surveyor, minerals",grocery_pos,69.99,0,39
F,Noonan,ND,58765,Industrial/product designer,shopping_net,2.58,0,58
F,Des Moines,IA,50312,Wellsite geologist,food_dining,53.57,0,70
M,Monetta,SC,29105,Chief Strategy Officer,shopping_net,2.41,0,60
F,Issaquah,WA,98027,Osteopath,shopping_pos,9.95,0,42
M,Dresden,KS,67635,"Librarian, public",shopping_pos,2.46,0,73
M,Grantham,NH,3753,Charity fundraiser,kids_pets,52.94,0,78
M,Mounds,OK,74047,Fitness centre manager,food_dining,130.12,0,44
F,Whaleyville,MD,21872,Regulatory affairs officer,entertainment,68.42,0,41
M,Shippingport,PA,15077,Secretary/administrator,misc_pos,36.33,0,48
M,Parkers Lake,KY,42634,"Designer, industrial/product",gas_transport,50.5,0,58
M,Parkers Lake,KY,42634,"Designer, industrial/product",home,7.32,0,58
F,Sherman,TX,75092,Systems developer,health_fitness,34.03,0,56
M,San Antonio,TX,78214,Land,health_fitness,25.95,0,31
F,Brandon,VT,5733,"Scientist, marine",misc_pos,239.39,0,51
M,Bay City,MI,48706,Water quality scientist,gas_transport,53.21,0,31
F,Wetmore,MI,49895,Immunologist,misc_net,5.79,0,54
M,San Diego,CA,92101,Comptroller,home,53.14,0,39
M,South Londonderry,VT,5155,Scientific laboratory technician,grocery_pos,118.42,0,69
F,Fordoche,LA,70732,Community education officer,home,54.77,0,75
F,Bridgeport,NJ,8014,"Engineer, control and instrumentation",grocery_net,51.82,0,46
F,Orangeburg,NY,10962,Records manager,shopping_pos,4.47,0,55
F,Breesport,NY,14816,Psychotherapist,gas_transport,35.19,0,35
M,Keller,TX,76248,Probation officer,shopping_pos,1.55,0,39
M,Seneca,WI,54654,Quantity surveyor,entertainment,69.42,0,64
F,North Prairie,WI,53153,Applications developer,entertainment,14.09,0,84
M,Palermo,ND,58769,Administrator,home,74.67,0,43
F,Hooper,NE,68031,"Engineer, automotive",shopping_pos,3.3,0,53
M,Grenada,CA,96038,Systems analyst,misc_net,2.99,0,81
M,Pea Ridge,AR,72751,Product designer,personal_care,56.11,0,59
F,Sutherland,NE,69165,Insurance broker,misc_pos,20.8,0,44
F,Hinckley,OH,44233,Medical sales representative,shopping_pos,5.42,0,38
F,Surrency,GA,31563,"Engineer, technical sales",health_fitness,9.18,0,100
M,Sula,MT,59871,"Therapist, horticultural",shopping_pos,144.19,0,31
F,Karnack,TX,75661,Chiropodist,home,105.55,0,95
M,New Boston,IL,61272,Manufacturing engineer,grocery_pos,108.44,0,33
F,Sherman,TX,75092,Systems developer,shopping_pos,1.67,0,56
F,Cottekill,NY,12419,Comptroller,kids_pets,84.34,0,36
F,Kansas City,MO,64114,Counsellor,shopping_pos,42.15,0,39
M,Christine,ND,58015,Television floor manager,food_dining,62.28,0,35
F,Cape Coral,FL,33909,Higher education careers adviser,food_dining,42.08,0,58
F,Independence,MO,64058,"Engineer, production",grocery_net,88.58,0,34
F,Garrattsville,NY,13342,Naval architect,health_fitness,12.71,0,81
M,Armonk,NY,10504,Television/film/video producer,home,8.27,0,62
M,Pittsburgh,PA,15217,"Scientist, marine",food_dining,16.75,0,53
M,Key West,FL,33040,Town planner,misc_pos,11.17,0,39
F,Belle Fourche,SD,57717,Hospital pharmacist,misc_net,3.65,0,86
F,Cherokee Village,AR,72529,Pharmacologist,shopping_net,55.85,0,49
M,Pointe Aux Pins,MI,49775,Electrical engineer,travel,555.52,0,32
F,Brooklyn,NY,11217,Medical sales representative,health_fitness,7.72,0,27
M,Wilmette,IL,60091,Trade mark attorney,travel,5.27,0,40
F,Grandview,TX,76050,"Radiographer, therapeutic",shopping_pos,526.6,0,34
M,Quanah,TX,79252,"Librarian, public",gas_transport,97.76,0,28
M,Tallmansville,WV,26237,Accounting technician,entertainment,57.71,0,59
F,Bellmore,NY,11710,"Librarian, public",misc_pos,17.47,0,56
M,Hewitt,WI,54441,Arts development officer,entertainment,73.55,0,35
M,Andrews,IN,46702,Retail banker,grocery_pos,121.12,0,71
F,Metairie,LA,70003,Advertising account planner,misc_pos,11.3,0,75
M,Haw River,NC,27258,Paramedic,kids_pets,28.42,0,42
M,Oakland,CA,94619,Barista,travel,8.47,0,52
F,Dongola,IL,62926,Scientific laboratory technician,home,34.29,0,42
M,Gretna,LA,70056,Biomedical scientist,shopping_net,9.69,0,54
F,Sherman,TX,75092,Systems developer,food_dining,24.9,0,56
F,De Soto,KS,66018,Chief Executive Officer,kids_pets,28.1,0,48
M,Cedar,MI,49621,"Social research officer, government",entertainment,29.66,0,51
F,Hinesburg,VT,5461,Claims inspector/assessor,misc_pos,1.79,0,28
M,Keller,TX,76248,Probation officer,health_fitness,58.06,0,39
M,Port Ewen,NY,12466,Heritage manager,shopping_pos,6.05,0,60
M,North Brookfield,MA,1535,Field seismologist,kids_pets,33.01,0,40
F,Bristol,PA,19007,"Administrator, charities/voluntary organisations",grocery_pos,197.48,0,41
M,San Antonio,TX,78214,Land,food_dining,67.92,0,31
F,Iselin,NJ,8830,Emergency planning/management officer,home,34.49,0,97
M,Cuyahoga Falls,OH,44223,Equities trader,food_dining,72.93,0,60
M,Orr,MN,55771,Horticultural therapist,grocery_pos,90.72,0,50
F,Noonan,ND,58765,Industrial/product designer,shopping_pos,3.85,0,58
F,Early,IA,50535,"Pilot, airline",health_fitness,27.99,0,77
F,Grandview,TX,76050,"Radiographer, therapeutic",grocery_pos,183.48,0,34
F,Sturgis,MS,39769,Medical physicist,travel,2.41,0,66
M,Honokaa,HI,96727,Physiotherapist,shopping_net,5.87,0,60
F,Cherokee Village,AR,72529,Pharmacologist,shopping_net,39.95,0,49
F,Creedmoor,NC,27522,Chief Strategy Officer,shopping_pos,29.11,0,39
M,Hudson,NY,12534,Travel agency manager,food_dining,63.52,0,28
M,Norman,AR,71960,Magazine features editor,grocery_pos,143.14,0,60
F,Marathon,TX,79842,Lexicographer,kids_pets,6.04,0,36
F,Gibsonville,NC,27249,Arboriculturist,grocery_net,78.38,0,92
M,Linthicum Heights,MD,21090,"Conservator, furniture",kids_pets,103.68,0,102
F,Esbon,KS,66941,Tourism officer,gas_transport,56.42,0,39
F,Surrency,GA,31563,"Engineer, technical sales",home,24.14,0,100
F,Rule,TX,79548,"Physicist, medical",health_fitness,8.12,0,72
M,Beasley,TX,77417,Trading standards officer,grocery_pos,100.65,0,45
F,Phoenix,AZ,85086,Counselling psychologist,misc_pos,6.57,0,27
F,Mifflin,PA,17058,Mining engineer,home,3.78,0,72
M,Ollie,IA,52576,Commercial horticulturist,health_fitness,102.4,0,57
F,Cherokee Village,AR,72529,Pharmacologist,health_fitness,39.84,0,49
M,Alva,WY,82711,"Administrator, local government",kids_pets,46.56,0,53
F,De Witt,AR,72042,Electrical engineer,kids_pets,104.68,0,33
F,Deane,KY,41812,"Conservation officer, historic buildings",misc_net,154.11,0,29
M,New Holstein,WI,53061,Child psychotherapist,gas_transport,76.62,0,48
F,Deltona,FL,32725,Commercial horticulturist,kids_pets,40.28,0,38
F,Saint Louis,MO,63131,Occupational hygienist,kids_pets,65.83,0,66
M,Seneca,WI,54654,Quantity surveyor,home,2.76,0,64
F,Rock Springs,WY,82901,Music therapist,shopping_net,5.84,0,42
M,Ruckersville,VA,22968,"Designer, ceramics/pottery",grocery_pos,39.82,0,51
F,Pembroke Township,IL,60958,"Psychotherapist, child",misc_pos,88.1,0,22
M,Winfield,WV,25213,Exhibition designer,shopping_pos,2.86,0,46
M,Fayetteville,NC,28314,"Scientist, research (maths)",grocery_pos,60.43,0,33
M,Andrews,IN,46702,Retail banker,shopping_pos,7.91,0,71
M,Greenwich,NJ,8323,Insurance risk surveyor,misc_net,2.54,0,61
F,North Wilkesboro,NC,28659,Dispensing optician,grocery_net,75.57,0,42
M,Ruckersville,VA,22968,"Designer, ceramics/pottery",shopping_net,2.79,0,51
F,Walnut Ridge,AR,72476,"Engineer, control and instrumentation",misc_net,465.1,0,49
F,Rocky Mount,MO,65072,Tax inspector,home,132.77,0,38
F,Walnut Ridge,AR,72476,"Engineer, control and instrumentation",entertainment,34.79,0,49
F,Nobleboro,ME,4555,Financial trader,shopping_pos,728.18,0,50
F,Redford,MO,63665,Investment analyst,grocery_pos,79.92,0,52
M,Birmingham,AL,35229,Musician,personal_care,43.43,0,46
F,Grandview,TX,76050,"Radiographer, therapeutic",shopping_net,279.42,0,34
M,San Antonio,TX,78214,Land,shopping_pos,6.29,0,31
M,El Paso,TX,79906,Market researcher,shopping_net,7.32,0,53
M,New Holstein,WI,53061,Child psychotherapist,misc_pos,137.7,0,48
M,Fort Washakie,WY,82514,Freight forwarder,grocery_net,47.19,0,50
M,Hawthorne,CA,90250,"Editor, magazine features",grocery_pos,44.93,0,31
F,O Brien,TX,79539,Warden/ranger,grocery_net,47.59,0,43
M,Tallmansville,WV,26237,Accounting technician,entertainment,14.88,0,59
F,Rochester,KY,42273,"Development worker, international aid",misc_net,9.13,0,79
M,Atlantic,VA,23303,"Geologist, engineering",food_dining,67.45,0,40
F,Clay Center,OH,43408,Insurance underwriter,gas_transport,51.78,0,61
F,Fort Washakie,WY,82514,Information systems manager,kids_pets,28.29,0,40
F,Superior,AZ,85173,Petroleum engineer,personal_care,3.88,0,39
M,Kissee Mills,MO,65680,"Engineer, agricultural",home,74.89,0,46
F,Houston,TX,77007,"Copywriter, advertising",shopping_net,66.43,0,42
F,Clayton,OK,74536,Occupational psychologist,grocery_pos,93.9,0,54
M,Ballwin,MO,63021,"Engineer, communications",food_dining,2.67,0,25
M,Columbia,SC,29209,Mechanical engineer,health_fitness,4.82,0,58
M,Elkhart,IA,50073,Trading standards officer,grocery_pos,109.93,0,52
M,Hovland,MN,55606,Freight forwarder,food_dining,55.66,0,25
F,Kirtland Afb,NM,87117,"Surveyor, land/geomatics",home,25.16,0,48
F,Blooming Grove,TX,76626,Financial adviser,shopping_net,5.7,0,48
M,Arvada,CO,80005,Hotel manager,travel,6.09,0,39
M,Riverton,WY,82501,"Lecturer, higher education",entertainment,40.91,0,33
F,Heislerville,NJ,8324,Exercise physiologist,travel,8.75,0,86
M,Reno,NV,89512,Immunologist,health_fitness,85.88,0,29
F,Blairsden-Graeagle,CA,96103,Chartered legal executive (England and Wales),misc_pos,187.43,0,59
F,Laramie,WY,82072,"Pilot, airline",shopping_net,1.49,0,38
M,Varnell,GA,30756,Pensions consultant,personal_care,10.26,0,82
M,North Brookfield,MA,1535,Field seismologist,home,43.6,0,40
F,Moriches,NY,11955,"Research officer, trade union",home,26.92,0,38
F,Independence,MO,64058,"Engineer, production",kids_pets,69.97,0,34
F,Mill Creek,PA,17060,Archaeologist,gas_transport,56.07,0,40
F,Oolitic,IN,47451,Counsellor,food_dining,17.89,0,35
F,Esbon,KS,66941,Tourism officer,gas_transport,61.18,0,39
F,Bauxite,AR,72011,"Scientist, audiological",travel,4.99,0,51
F,Allenhurst,NJ,7711,"Administrator, charities/voluntary organisations",personal_care,130.27,0,91
F,Ronceverte,WV,24970,Statistician,health_fitness,63.52,0,35
M,Bowdoin,ME,4287,"Engineer, electronics",shopping_net,1.35,0,29
M,Gretna,LA,70056,Biomedical scientist,grocery_pos,29.18,0,54
F,Ford,VA,23850,Chief Operating Officer,grocery_pos,105.54,0,50
F,Enola,AR,72047,"Physicist, medical",kids_pets,26.23,0,72
M,Wilmette,IL,60091,Trade mark attorney,gas_transport,94.42,0,40
M,Luray,MO,63453,Town planner,personal_care,24.03,0,60
M,Saint Bonaventure,NY,14778,Toxicologist,food_dining,59.39,0,52
F,Bowersville,OH,45307,Quantity surveyor,gas_transport,55.66,0,38
F,Philadelphia,PA,19149,Structural engineer,shopping_net,3.02,0,41
F,Goodrich,MI,48438,Learning disability nurse,shopping_net,3.53,0,41
F,Brooklyn,NY,11217,Medical sales representative,food_dining,3.14,0,27
F,Ash Flat,AR,72513,Hydrologist,kids_pets,37.49,0,100
M,Sachse,TX,75048,Site engineer,grocery_pos,69.62,0,41
F,Holstein,NE,68950,Telecommunications researcher,misc_net,6.75,0,76
F,Center Point,WV,26339,Chief Executive Officer,personal_care,67.42,0,55
M,East Rochester,NY,14445,Retail buyer,misc_pos,1.01,0,98
F,Roosevelt,OK,73564,Amenity horticulturist,misc_pos,7.06,0,56
M,Kingsville,MD,21087,Science writer,grocery_pos,78.11,0,65
F,Breesport,NY,14816,Psychotherapist,gas_transport,53.59,0,35
F,Cranks,KY,40820,"Psychologist, counselling",misc_net,18.29,0,59
M,Winfield,WV,25213,Exhibition designer,misc_pos,9.41,0,46
M,High Rolls Mountain Park,NM,88325,Naval architect,grocery_pos,141.59,0,59
M,Keller,TX,76248,Probation officer,misc_net,2.34,0,39
M,Mooresville,NC,28117,Control and instrumentation engineer,gas_transport,61.29,0,73
F,Atglen,PA,19310,Product manager,misc_pos,6.19,0,98
F,Randolph,MN,55065,Barrister,grocery_pos,88.02,0,47
M,Mallie,KY,41836,Facilities manager,health_fitness,9.05,0,100
F,Eureka,IL,61530,Archivist,personal_care,18.13,0,81
F,Issaquah,WA,98027,Osteopath,entertainment,58.56,0,42
F,Valdosta,GA,31605,Educational psychologist,grocery_pos,165.19,0,39
M,Muskegon,MI,49440,Historic buildings inspector/conservation officer,home,135.03,0,31
F,Bradley,SC,29819,Research scientist (physical sciences),misc_pos,2.97,0,42
M,Elizabethtown,KY,42701,Surgeon,misc_pos,9.4,0,36
F,Daly City,CA,94015,"Buyer, industrial",grocery_net,40.97,0,35
M,Fenelton,PA,16034,Communications engineer,misc_net,69.45,0,50
M,Pelham,NC,27311,Insurance underwriter,grocery_pos,112.47,0,99
F,Glen Rock,PA,17327,Insurance claims handler,home,44.12,0,74
M,Ruckersville,VA,22968,"Designer, ceramics/pottery",gas_transport,91.62,0,51
F,Smith River,CA,95567,Web designer,gas_transport,73.32,0,43
F,Bristol,PA,19007,"Administrator, charities/voluntary organisations",kids_pets,77.15,0,41
F,Hannawa Falls,NY,13647,Chief Executive Officer,misc_pos,155.56,0,35
M,South Richmond Hill,NY,11419,Site engineer,misc_pos,2.38,0,89
F,Garrattsville,NY,13342,Naval architect,home,38.99,0,81
F,Newhall,CA,91321,Health physicist,misc_pos,35.5,0,55
F,Bowersville,OH,45307,Quantity surveyor,shopping_net,2.22,0,38
M,Saxon,WI,54559,Television/film/video producer,misc_pos,28.01,0,40
F,Mobile,AL,36617,"Surveyor, land/geomatics",food_dining,52.46,0,54
F,Allentown,PA,18103,"Scientist, research (maths)",gas_transport,45.99,0,28
F,Joliet,IL,60432,"Teacher, secondary school",grocery_pos,178.51,0,34
M,Grenada,CA,96038,Systems analyst,gas_transport,63.84,0,81
M,Meadville,MO,64659,Tourist information centre manager,shopping_pos,130.73,0,52
